datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
27-12-19 00,0,45.438774,0,45.43877411
27-12-19 01,0,45.438774,0,45.43877411
27-12-19 02,0,45.438774,0,45.43877411
27-12-19 03,0,45.438774,0,45.43877411
27-12-19 04,0,45.438774,0,45.43877411
27-12-19 05,0,45.438774,0,45.43877411
27-12-19 06,0,45.438774,0,45.43877411
27-12-19 07,0,45.438774,0,45.43877411
27-12-19 08,0,45.438774,31.02228864,14.41648547
27-12-19 09,0,84.681694,138.1775956,-53.49590153
27-12-19 10,14.00621,353.2103,110.5031857,242.7071109
27-12-19 11,60.883755,144.13264,89.28183009,54.85081457
27-12-19 12,101.41478,151.87192,569.8682879,-417.9963701
27-12-19 13,109.574905,676.89703,724.9811614,-48.08412768
27-12-19 14,103.72003,530.1819,51.98241471,478.1994701
27-12-19 15,77.450424,13.553761,0.035338106,13.51842242
27-12-19 16,46.0548,31.32523,0,31.32522964
27-12-19 17,11.6179,64.59871,0,64.59870911
27-12-19 18,0,54.779507,0,54.77950668
27-12-19 19,0,45.438774,0,45.43877411
27-12-19 20,0,45.438774,0,45.43877411
27-12-19 21,0,45.438847,0,45.43884659
27-12-19 22,0,45.438847,0,45.43884659
27-12-19 23,0,45.438774,0,45.43877411
28-12-19 00,0,45.438774,0,45.43877411
28-12-19 01,0,45.438774,0,45.43877411
28-12-19 02,0,45.438774,0,45.43877411
28-12-19 03,0,45.438774,0,45.43877411
28-12-19 04,0,45.438774,0,45.43877411
28-12-19 05,0,45.438774,0,45.43877411
28-12-19 06,0,45.438774,0,45.43877411
28-12-19 07,0,45.438774,0,45.43877411
28-12-19 08,0,45.438774,14.99343654,30.44533757
28-12-19 09,0,63.709743,142.9505303,-79.24078679
28-12-19 10,25.2111,452.21814,273.8842394,178.3339002
28-12-19 11,73.934265,433.71573,296.9787679,136.7369609
28-12-19 12,98.462425,289.7462,274.781016,14.96516926
28-12-19 13,127.10443,297.95923,229.7585348,68.20069369
28-12-19 14,139.92236,231.9734,48.04794191,183.925462
28-12-19 15,103.48125,60.949795,2.948049946,58.00174482
28-12-19 16,40.480797,40.559357,0,40.55935669
28-12-19 17,7.902851,73.72574,0,73.72573853
28-12-19 18,0,50.98878,0,50.98878098
28-12-19 19,0,45.438774,0,45.43877411
28-12-19 20,0,45.438774,0,45.43877411
28-12-19 21,0,45.438774,0,45.43877411
28-12-19 22,0,45.438774,0,45.43877411
28-12-19 23,0,45.438774,0,45.43877411
29-12-19 00,0,45.438774,0,45.43877411
29-12-19 01,0,45.438774,0,45.43877411
29-12-19 02,0,45.438774,0,45.43877411
29-12-19 03,0,45.438774,0,45.43877411
29-12-19 04,0,45.438774,0,45.43877411
29-12-19 05,0,45.438847,0,45.43884659
29-12-19 06,0,45.438847,0,45.43884659
29-12-19 07,0,45.438774,0,45.43877411
29-12-19 08,0,45.438774,0.688649086,44.75012502
29-12-19 09,0,46.279957,63.24655673,-16.96659991
29-12-19 10,21.476042,210.50761,184.5587877,25.94882642
29-12-19 11,73.93816,364.5815,296.2379195,68.34359293
