datetime,irradiation(t-24hr)(W/m^2),Power(t-24hr)(W),Predicted(W),Actual(W),error(W)
17-05-17 21,0.006172834,0,67.48594,141.2381009,-73.75216185
17-05-17 22,0,0,7.1838827,19.7323057,-12.54842299
17-05-17 23,0.04299913,0,-13.759951,0,-13.75995064
18-05-17 00,0.031303445,0,-21.764336,0,-21.76433563
18-05-17 01,0.024608317,0,-23.117554,0,-23.11755371
18-05-17 02,0.126553456,0,-19.135796,0,-19.13579559
18-05-17 03,0.050983162,0,-10.458382,0,-10.45838165
18-05-17 04,0.439460753,0,-5.6443496,0,-5.644349575
18-05-17 05,10.68194694,32.36368916,-5.682423,0,-5.682423115
18-05-17 06,87.7778262,291.216747,-16.765036,0,-16.76503563
18-05-17 07,288.3471457,1097.621904,2.388643,27.19406133,-24.8054183
18-05-17 08,528.5744912,2522.466183,167.27979,279.0475313,-111.7677461
18-05-17 09,757.7009126,3445.19332,874.113,1221.957893,-347.8449168
18-05-17 10,885.5571576,3869.228712,1941.7035,2614.484919,-672.7814282
18-05-17 11,924.8754836,3971.245884,2682.6033,3513.844235,-831.240964
18-05-17 12,1025.03607,4230.082973,3189.8284,4063.417049,-873.5886803
18-05-17 13,983.3991951,4064.136299,3329.939,4296.816005,-966.8770401
18-05-17 14,847.7794101,3632.615719,3403.3677,4313.833446,-910.46577
18-05-17 15,665.6122315,2972.45413,3154.349,4075.93187,-921.5827484
18-05-17 16,422.6397613,2043.997649,2801.5325,3605.636209,-804.1037379
18-05-17 17,179.4252195,952.8826123,2298.8337,2920.866714,-622.0329741
18-05-17 18,64.85782487,268.820014,1599.0359,1986.302975,-387.2670867
18-05-17 19,39.49646023,144.3369349,845.83246,908.574951,-62.74249251
18-05-17 20,5.774631848,13.89079619,237.23286,238.9288893,-1.696024966
18-05-17 21,0,0,69.432915,126.9857392,-57.55282446
18-05-17 22,0,0,11.84108,22.64397502,-10.8028953
18-05-17 23,0.012644759,0,-12.202498,0,-12.20249844
19-05-17 00,0.012046575,0,-20.979113,0,-20.97911263
19-05-17 01,0,0,-23.258774,0,-23.2587738
19-05-17 02,0,0,-20.250023,0,-20.25002289
19-05-17 03,0.006172834,0,-11.81146,0,-11.81145954
19-05-17 04,0.012583167,0,-6.058268,0,-6.05826807
19-05-17 05,7.583408219,15.57520336,-4.480347,0,-4.480347157
19-05-17 06,83.45360125,261.5671853,-14.28306,0,-14.28306007
19-05-17 07,277.5129257,1127.920182,19.676613,17.2597532,2.416859657
19-05-17 08,537.2936814,2572.679613,214.0877,158.8612986,55.22640891
19-05-17 09,765.3135583,3477.46206,957.7961,348.4301554,609.3659262
19-05-17 10,938.361387,4051.238269,1986.2739,495.5806542,1490.693272
