datetime,irradiation_prediction,Predicted_Power_Watts,Actual_Power_Watts,error
27-02-20 17,145.53958,21371.947,750.0363258153166,20621.910939809684
27-02-20 18,70.48311600000001,-1173.1088,0.0,-1173.1087646484375
27-02-20 19,5.5484686,2398.943,0.0,2398.943115234375
27-02-20 20,0.0,4794.925,0.0,4794.9248046875
27-02-20 21,0.0,4406.0864,0.0,4406.08642578125
27-02-20 22,0.0,4624.9434,0.0,4624.943359375
27-02-20 23,0.0,4517.9336,0.0,4517.93359375
28-02-20 00,0.0,4518.661,0.0,4518.6611328125
28-02-20 01,0.0,4504.027,0.0,4504.02685546875
28-02-20 02,0.0,4506.436,0.0,4506.43603515625
28-02-20 03,0.0,4519.7427,0.0,4519.74267578125
28-02-20 04,0.0,4505.9824,0.0,4505.982421875
28-02-20 05,0.0,4507.343,0.0,4507.3427734375
28-02-20 06,0.0,4481.9106,0.0,4481.91064453125
28-02-20 07,0.0,4515.198,1036.619861990721,3478.578380196779
28-02-20 08,1.6841753000000006,9062.088,8976.523496372796,85.56439425220378
28-02-20 09,44.7689,37110.83,58398.81835711125,-21287.990232111253
28-02-20 10,91.964584,106809.47,113357.28452272003,-6547.8157727200305
28-02-20 11,168.85608,140006.22,83975.44939738256,56030.76935261744
28-02-20 12,17.09304,71899.12,101657.09327951365,-29757.976092013647
28-02-20 13,34.849959999999996,87146.22,63270.87717939387,23875.341570606128
28-02-20 14,294.13043,64177.344,51743.829106893354,12433.514643106646
28-02-20 15,265.65405,33821.44,59689.085461165705,-25867.644054915705
28-02-20 16,213.01442999999998,35500.652,18448.340424643902,17052.311919106098
28-02-20 17,128.18313999999998,4904.632,1306.7078304079894,3597.9240055295104
28-02-20 18,67.23694000000002,-1041.3657,0.0,-1041.36572265625
28-02-20 19,5.553131599999998,1993.5721,0.0,1993.5721435546875
28-02-20 20,0.0,4800.0923,0.0,4800.09228515625
28-02-20 21,0.0,4506.6157,0.0,4506.61572265625
28-02-20 22,0.0,4566.1855,0.0,4566.185546875
28-02-20 23,0.0,4513.772,0.0,4513.77197265625
29-02-20 00,0.0,4487.2393,0.0,4487.2392578125
29-02-20 01,0.0,4527.6313,0.0,4527.63134765625
29-02-20 02,0.0,4502.6665,0.0,4502.66650390625
29-02-20 03,0.0,4513.767,0.0,4513.76708984375
29-02-20 04,0.0,4514.4097,0.0,4514.40966796875
29-02-20 05,0.0,4483.739,0.0,4483.73876953125
29-02-20 06,0.0,4514.1543,0.0,4514.154296875
29-02-20 07,0.0,4526.1104,4873.577974638205,-347.467623075705
29-02-20 08,0.3241072999999996,28465.89,24759.659096937514,3706.231528062486
29-02-20 09,4.648580599999999,74685.555,58257.75066192223,16427.804025577767
29-02-20 10,10.78524,71015.88,28648.832551806016,42367.050260693984
29-02-20 11,19.821281,22221.516,39169.58109603678,-16948.06547103678
29-02-20 12,226.18306,46245.19,42581.48851035469,3663.7028958953088
29-02-20 13,278.12677,51530.695,97384.5446625301,-45853.8493500301
29-02-20 14,273.10565,93680.53,54933.36812550762,38747.16312449238
29-02-20 15,128.11118000000002,25371.744,52582.944714320816,-27211.200573695816
29-02-20 16,13.845909,50918.16,24670.033351628754,26248.126804621246
29-02-20 17,16.742172,16035.84,1183.472558925263,14852.367284824737
29-02-20 18,42.02176,4679.0674,0.0,4679.0673828125
29-02-20 19,4.763757999999999,2101.6167,0.0,2101.61669921875
29-02-20 20,0.0,4807.088,0.0,4807.087890625
29-02-20 21,0.0,4376.214,0.0,4376.2138671875
29-02-20 22,0.0,4462.251,0.0,4462.2509765625
29-02-20 23,0.0,4428.34,0.0,4428.33984375
01-03-20 00,0.0,4505.6284,0.0,4505.62841796875
01-03-20 01,0.0,4476.54,0.0,4476.5400390625
01-03-20 02,0.0,4471.514,0.0,4471.51416015625
01-03-20 03,0.0,4453.7764,0.0,4453.7763671875
01-03-20 04,0.0,4394.797,0.0,4394.796875
