Time,variables1,variables2,variables3,variables4,variables5
23-01-18 15,133.75682,3.9946294,19.5889118920516,3.1030869938101,75.2907556522029
23-01-18 16,91.13811,3.6646292,1.33490019683298,2.96506778318032,2.79484334924602
23-01-18 17,46.57878,3.2246292,0.0977161195919686,2.85394186490331,0
23-01-18 18,3.6907659,2.834629,0.602801346166468,2.99923952039497,0
23-01-18 19,0,2.6746292,0.753243402586789,2.46796380193197,0
23-01-18 20,0,2.4946291,0.656159484995207,2.68392845622827,0
23-01-18 21,0,2.284629,0.208351855203846,2.87797197783097,0
23-01-18 22,0,2.534629,0.43366961811709,2.824145521329,0
23-01-18 23,0,2.5046291,0.606218474364028,2.51365927318979,0
24-01-18 00,0,1.9446293,0.216930592687629,2.47344826017467,0
24-01-18 01,0,1.2746292,0.205060234159378,2.38642103126631,0
24-01-18 02,0,0.044629246,0.466860422672785,2.97956489533632,0
24-01-18 03,0,0.30462924,0.234294681500791,2.98870560094475,0
24-01-18 04,0,0.88462925,0.235301608227246,3.31411045754577,0
24-01-18 05,0,1.7246293,0.122912481224062,3.97687192448554,0
24-01-18 06,0,2.4746292,0.236704669207339,4.70978730060151,0
24-01-18 07,0,2.4046292,0.109181810398659,5.88771944971993,0
24-01-18 08,0,3.1446292,3.96661172056829,6.69755134335368,5.08003297447225
24-01-18 09,0,3.534629,25.4016253032953,6.90725701177068,99.9629163832488
24-01-18 10,4.438483,4.164629,45.771855117924,7.3451797160447,200.834458004422
24-01-18 11,77.595726,6.674629,80.5852802038401,7.65434226873239,376.98655478252
24-01-18 12,146.16647,7.814629,79.8665098062146,8.519930905264,368.81743203691
24-01-18 13,146.52628,8.1046295,90.189902515418,9.03379049782841,421.181009383661
24-01-18 14,143.84528,8.844629,155.279253945587,10.0990695795754,865.289446891965
24-01-18 15,136.96219,9.25463,72.512595108933,9.59976895013658,408.117117954617
24-01-18 16,107.04582,9.014629,4.20172280988058,7.95198764308285,12.5447732499767
24-01-18 17,59.017765,8.434629,0.0552486653712063,6.92265676177563,0
24-01-18 18,5.0784354,7.424629,0.302742645480517,6.27605315796689,0
24-01-18 19,0,6.8446293,0.817422726969541,6.53284295728338,0
24-01-18 20,0,6.8246293,0.590938597347133,6.70018719481112,0
24-01-18 21,0,6.654629,0.146283432465508,6.95509404916534,0
24-01-18 22,0,6.024629,0.17938136291449,7.09660117784172,0
24-01-18 23,0,5.454629,0.0549537660192878,7.10368710505262,0
25-01-18 00,0,5.474629,0.0955066105650501,7.2593645295895,0
25-01-18 01,0,5.454629,0.107009894740834,7.17205812039158,0
25-01-18 02,0,5.404629,0.0256307177822364,7.18781885144264,0
25-01-18 03,0,5.1346292,0.0185185006177369,7.46858565530117,0
25-01-18 04,0,4.914629,0.012345666873627,7.30022169378858,0
25-01-18 05,0,4.664629,0.114197668699198,7.22547338117542,0
25-01-18 06,0,4.454629,0.0190920039370733,6.90232174123142,0
25-01-18 07,0,4.5946293,0.216499884596415,6.55391297681198,0.0266239825367922
25-01-18 08,0,5.084629,36.8622060951342,6.68309784843773,221.690052402839
25-01-18 09,2.0124187,5.404629,147.85039580703,8.22200455847398,835.581132561769
